昵称,地区,时间,评论
￴ ￴   ￴ ￴ ￴￴ ￴,广西,2024-11-25 16:21:02,拍这个秒拉[呲牙]
7潘.,河南,2024-11-25 16:20:00,没看见砂糖橘差评
徐小友,广西,2024-11-25 16:20:52,今年不敢回家过年了[流泪]
青夏,江西,2024-11-25 16:15:16,有没有人一起拍这个[流泪][流泪]
不熬夜的小台灯,山西,2024-11-25 16:20:01,啊，大肌肉
青夏,江西,2024-11-25 16:14:25,想搞这个有宝宝一起来吗[送心][送心][送心]
初见°°,重庆,2024-11-25 16:21:02,你们在哪个组，我先来麻将组[尬笑]
减肥还剩五百斤,广西,2024-11-25 16:16:13,我来拉，一起跨年[玫瑰]
炭火烤肉拌饭,江西,2024-11-25 16:14:42,有一个大胆的想法，想每一个城市都有一个00后的微信好友[泣不成声]，没别的意思，就是想交朋友。可以嘛[泣不成声] 可以一起跨年的[泣不成声]（文案是复制的 我是认真的）
0122.*🌻,四川,2024-11-25 16:21:12,怎么说服那个当猪的[捂脸]
桃成蹊yu,贵州,2024-11-25 16:06:36,这个叫啥
奶味气泡,广东,2024-11-25 13:11:30,有人没？拉个全国过年抢红包和一起跨年群[色][色]真实，人少
张yu小丸子,山东,2024-11-25 16:21:22,不是，你们真磕头啊
孜然粒,山东,2024-11-25 16:14:03,没人拉我自己建了[不失礼貌的微笑]
怪咖.,美国,2024-11-25 13:12:18,自建会发红包的[黑脸]
你华很OK,山东,2024-11-25 16:19:06,你这是混沌组，不是饺子组
波力海洋🥦,天津,2024-11-25 13:43:16,蹲个过年发红包🧧群[看]
棒棒糖,安徽,2024-11-25 15:39:58,我建一个  谁来  过年抢🧧
敷衍.,四川,2024-11-25 16:19:09,怎么说服那个扮猪的[暗中观察]
念一,福建,2024-11-25 16:20:30,红包群红包群，谁拉
邓瑶瑶,湖南,2024-11-25 16:03:51,拉个过年群[猪头]
Y😃,甘肃,2024-11-25 16:15:45,我可能想过年想疯了，看个都觉得过年氛围感十足，都给我激动的想从教室窜出去坐高铁回家[流泪]
一杯冰美式☕️,澳大利亚,2024-11-25 15:58:38,建群？
茉莉星,浙江,2024-11-25 15:42:02,我来 [比心]
chuuya,安徽,2024-11-25 16:19:36,不是，用纸都比我包的好[尬笑]
不冻港,黑龙江,2024-11-25 16:20:44,嫂子有肌肉[捂脸]
已读不爱回.,贵州,2024-11-25 16:20:32,1600的粉丝整这么大量
